User,LP Balance,is_contract,contract_type,events,withdrawn_eth,withdrawn_aleth,eth_to_redeem,aleth_to_redeem
0x268893Bf0047c3376dDA9D94Cd1d9C7c10eC2EE8,4174985488900252160,False,,[],0,0,1.4202976987660946e+18,2.764547803827542e+18
0x2330eB2d92167c3b6B22690c03b508E0CA532980,2269622699669572864,False,,[],0,0,7.721080482742252e+17,1.5028747923963295e+18
0x05c0F2d1978a1Da91E5D82B8935c610b3F93f36B,2725,False,,[],0,0,927.0238757541407,1804.4117244140289
0xbfb496ACb99299e9eCE84B3FD1B3fDd0f6CDDf49,1830,False,,[],0,0,622.5518138092027,1211.770075478045
