User,LP Balance,is_contract,contract_type,events,withdrawn_ftm,withdrawn_ftml,ftm_to_redeem,ftml_to_redeem
0x25658d89712D23c7D7adc097C74cd91449E17be9,95376208123703619830,False,,"[AttributeDict({'args': AttributeDict({'provider': '0x25658d89712D23c7D7adc097C74cd91449E17be9', 'token_amount': 100000000000000000, 'coin_index': 3962893646987277247, 'coin_amount': 253741857180472211}), 'event': 'RemoveLiquidityOne', 'logIndex': 2, 'transactionIndex': 0, 'transactionHash': HexBytes('0xe4c741106687b83317c6470cce777ff0ad1b05bca64313a18d765bed1c94454e'), 'address': '0x8B63F036F5a34226065bC0a7B0aE5bb5eBA1fF3D', 'blockHash': HexBytes('0x00037e99000004c184e363ef2a7cce498c5741fb04c7cb064e803e1ee8f0e087'), 'blockNumber': 66770412}), AttributeDict({'args': AttributeDict({'provider': '0x25658d89712D23c7D7adc097C74cd91449E17be9', 'token_amount': 100000000000000000, 'coin_index': 3926809606243039034, 'coin_amount': 153741857180472211}), 'event': 'RemoveLiquidityOne', 'logIndex': 2, 'transactionIndex': 1, 'transactionHash': HexBytes('0x7ef235c3cf78ac2f18e58a7298c6e4075df04b40903249065bc0bc5d5136b7cc'), 'address': '0x8B63F036F5a34226065bC0a7B0aE5bb5eBA1fF3D', 'blockHash': HexBytes('0x00037e9a000004ed29add02c99eb3a3860717b24b6762ccefdec85869027115f'), 'blockNumber': 66770489}), AttributeDict({'args': AttributeDict({'provider': '0x25658d89712D23c7D7adc097C74cd91449E17be9', 'token_amount': 53657045704073968, 'coin_index': 2091845878261844402, 'coin_amount': 100084811476398243}), 'event': 'RemoveLiquidityOne', 'logIndex': 3, 'transactionIndex': 1, 'transactionHash': HexBytes('0xb287fdff741e5758dc25733ba95e6785808e9b46a226ec458fa1ed3f029efcbf'), 'address': '0x8B63F036F5a34226065bC0a7B0aE5bb5eBA1fF3D', 'blockHash': HexBytes('0x00037e9b0000058824561f3e9728e162e6cff84a3d3c4cb3a4331708d23b4a77'), 'blockNumber': 66770608}), AttributeDict({'args': AttributeDict({'provider': '0x25658d89712D23c7D7adc097C74cd91449E17be9', 'token_amount': 53657045704073968, 'coin_index': 1000686377532241438, 'coin_amount': 46427765772324275}), 'event': 'RemoveLiquidityOne', 'logIndex': 3, 'transactionIndex': 1, 'transactionHash': HexBytes('0x9faf9273b09cfbb5fd9ccd2e1d41e56a82a3dc7c0d88d76667a735b57d2173e0'), 'address': '0x8B63F036F5a34226065bC0a7B0aE5bb5eBA1fF3D', 'blockHash': HexBytes('0x00037e9b0000072c9d42cdc8f6886c00facca32dbbb1efb98ff2d61ccefe3400'), 'blockNumber': 66770630}), AttributeDict({'args': AttributeDict({'provider': '0x25658d89712D23c7D7adc097C74cd91449E17be9', 'token_amount': 5365704570407396, 'coin_index': 414403609742406139, 'coin_amount': 41062061201916879}), 'event': 'RemoveLiquidityOne', 'logIndex': 39, 'transactionIndex': 2, 'transactionHash': HexBytes('0xc3bbde4285cbb7dfa25424d9b5e7004e80cca36e6f3628dc27a8ae2993abd1e7'), 'address': '0x8B63F036F5a34226065bC0a7B0aE5bb5eBA1fF3D', 'blockHash': HexBytes('0x00037e9d000007c713b9f2643ff2f8e9c080285ca0ef948ced95bd054be43fc3'), 'blockNumber': 66770998}), AttributeDict({'args': AttributeDict({'provider': '0x25658d89712D23c7D7adc097C74cd91449E17be9', 'token_amount': 5365704570407396, 'coin_index': 396642738742446893, 'coin_amount': 35696356631509483}), 'event': 'RemoveLiquidityOne', 'logIndex': 49, 'transactionIndex': 8, 'transactionHash': HexBytes('0x620747625a3a98f7f94ccb845596d3704686e63b77f235989c977f75b351bb14'), 'address': '0x8B63F036F5a34226065bC0a7B0aE5bb5eBA1fF3D', 'blockHash': HexBytes('0x00037e9d000009b9548d17cfbb6659b4662f171d78203f993b757bb9f98489ee'), 'blockNumber': 66771021}), AttributeDict({'args': AttributeDict({'provider': '0x25658d89712D23c7D7adc097C74cd91449E17be9', 'token_amount': 5365704570407396, 'coin_index': 377758871883699296, 'coin_amount': 30330652061102087}), 'event': 'RemoveLiquidityOne', 'logIndex': 12, 'transactionIndex': 6, 'transactionHash': HexBytes('0xa9b0fafcc8eb02f79945facb17bc52258f719a13baf756cbe6f2c1db7404f3c1'), 'address': '0x8B63F036F5a34226065bC0a7B0aE5bb5eBA1fF3D', 'blockHash': HexBytes('0x00037e9d00000c4e152fa584d55f7f18596ba06597e2e7c84354119268c33e90'), 'blockNumber': 66771059}), AttributeDict({'args': AttributeDict({'provider': '0x25658d89712D23c7D7adc097C74cd91449E17be9', 'token_amount': 1, 'coin_index': 67, 'coin_amount': 30330652061102086}), 'event': 'RemoveLiquidityOne', 'logIndex': 4, 'transactionIndex': 3, 'transactionHash': HexBytes('0x8ec9fbfdd40b3d7ddf9e46d3b9d6818e45cacfd5ff2a55339a4d4fa9d939366e'), 'address': '0x8B63F036F5a34226065bC0a7B0aE5bb5eBA1fF3D', 'blockHash': HexBytes('0x00037e9e0000020051b66a4bf8f4154edf91aff8c572b95959bc5c58ad51bc0e'), 'blockNumber': 66771108}), AttributeDict({'args': AttributeDict({'provider': '0x25658d89712D23c7D7adc097C74cd91449E17be9', 'token_amount': 1, 'coin_index': 67, 'coin_amount': 30330652061102085}), 'event': 'RemoveLiquidityOne', 'logIndex': 14, 'transactionIndex': 3, 'transactionHash': HexBytes('0x8b81e36cea111ac5ed428d36d7dbd44e320f8c21fe504a6b0d471f99924e8ddf'), 'address': '0x8B63F036F5a34226065bC0a7B0aE5bb5eBA1fF3D', 'blockHash': HexBytes('0x00037e9e000002361f544c262e569e02662bb320aa51d5e4ae006eb8e93ac53f'), 'blockNumber': 66771111})]",0,0,6.397611553607902e+19,3.2008735108391444e+19
0xa1fAFdcC9Cdf7d91B996D29b44E966302F94b50C,29503933426158836463,False,,[],0,0,1.9790544107106456e+19,9.901668437779177e+18
0x3D6991085Ab1ae3926cB96f25684C40a364B6856,28890776938787210520,False,,[],0,0,1.937925316726425e+19,9.695890036956043e+18
0xc808E1bc3a9458F43e81BEEB465078a663d61Fca,19209674646037359611,False,,[],0,0,1.2885397613746645e+19,6.446863419710424e+18
0x266557ABC87afD40582fc535fbb677Ae5B993Ea9,9991691647552136228,False,,"[AttributeDict({'args': AttributeDict({'provider': '0x266557ABC87afD40582fc535fbb677Ae5B993Ea9', 'token_amount': 9991691647552136228, 'coin_index': 5244862264972773506688, 'coin_amount': 353741857180472211}), 'event': 'RemoveLiquidityOne', 'logIndex': 24, 'transactionIndex': 8, 'transactionHash': HexBytes('0x72f5ce065c949873954d1812133be943899a1985fbbbe57fd77815ffb7443ca2'), 'address': '0x8B63F036F5a34226065bC0a7B0aE5bb5eBA1fF3D', 'blockHash': HexBytes('0x00037743000001cb86e9be3c219754853bc3c4e3c8f49de04cc0e791914e1ff0'), 'blockNumber': 66467648})]",0,0,6.70219158236597e+18,3.3532619667203896e+18
0x43C4fF14DAe2Fbb389Dd94498C3D610A0c69a89d,9917380745383882365,False,,[],0,0,6.65234557824993e+18,3.3283228542314117e+18
0x456Eb5DaAC06b24A361717ED6Dc759438464c18A,9857933861067169400,False,,[],0,0,6.61247000745377e+18,3.3083721808869135e+18
0xd67d38c6BD7861d84207bF6D8EE129acA42B5Acc,4786986977715866204,False,,[],0,0,3.2109981931641057e+18,1.6065369042381312e+18
0xa2a2c322Fd220c6f0E922BD6F5c8bFBDfFF99902,3950928043197604240,False,,[],0,0,2.6501895382389965e+18,1.3259513211408287e+18
0xeE1f7fccE320dd35F9237d0D991366801CDC5CAa,2008555618558657125,False,,[],0,0,1.34729183348204e+18,6.740813669330308e+17
0x088b47F76F4696ED16f9674dde39E9E9b5D8451C,1955197893046943031,False,,[],0,0,1.3115007270915208e+18,6.56174245906836e+17
0x872AF3cb1DaD88907f2944F166a98a9d4a86DD93,1179593267648090275,False,,[],0,0,7.912433998084253e+17,3.958774329843156e+17
0x658F475700d454eC73e17BFC4E65952Bd60d1Bd4,989005443728133395,False,,[],0,0,6.634015733955053e+17,3.319152007803859e+17
0x0C26ba3f48f81Cd78931D5dD60F6bd80042DAa7b,988657420692104246,False,,[],0,0,6.631681277343679e+17,3.317984024992315e+17
0xcE807D1ba929C9f83a3406817Cdd49D30fF4E01b,985642350426530158,False,,[],0,0,6.6114568956604e+17,3.307865297548383e+17
0x183A48331B4ee0d2253D7d23a4b1cbc10075b5Ae,197791438756499199,False,,[],0,0,1.3267384169352651e+17,6.637980157119467e+16
0xeb63ee9c8bE4C1D14C6D352Fad5ca8f933BE7af8,2883226186,False,,[],0,0,1934000262.9685342,967625208.2233444
