User,LP Balance,LP Balance - withdrawn,is_contract,contract_type,events,withdrawn_eth,withdrawn_de,eth_to_redeem,de_to_redeem
0xB779DaeAD6031Ef189cAD4Ac438c991Efe7635A7,89784290279816048,89784290279816048,False,,[],0,0,5.182248707876154e+16,3.874960166800519e+16
0x55CFbB18b3e35b05c20f9056D7B79cFc3F359526,89229840062420369,89229840062420369,False,,[],0,0,5.1502464621188424e+16,3.851030896989661e+16
0xAc1b80e06f970879BfB8f2b92B59442593f332b6,59944566349091476,59944566349091476,False,,[],0,0,3.4599332526729428e+16,2.5871208214147748e+16
0x53b015573630d248a32b11b21E5443EFb92D9CFB,59827660388348303,59827660388348303,False,,[],0,0,3.453185571512729e+16,2.5820753291607344e+16
0x726A7E8181300fd23AfE73B8B7C37d47A78eEe6E,49763248235280586,49763248235280586,False,,[],0,0,2.872278970667289e+16,2.1477098508141548e+16
0x300D5606f451785089816fb67A7aD052C5859b6A,45105125749467141,45105125749467141,False,,[],0,0,2.603417356257866e+16,1.946672018601512e+16
0x4ACeA8CFfbcC6902a38915090af4B588494a42e2,41460930379209243,41460930379209243,False,,[],0,0,2.3930784797137504e+16,1.7893938148558534e+16
0x8330A84D3C16A55302f921C36979B1067418053a,38998451040539107,38998451040539107,False,,[],0,0,2.2509469294032856e+16,1.6831167666197082e+16
0x63fdB65CcA5A9E66b7F8d925758cb935281b0Ad2,29907427102995668,29907427102995668,False,,[],0,0,1.7262232065027702e+16,1.2907613164220904e+16
0xf6fe9679254698Bd5e32Cd02f830b9725e703937,26955823535381476,26955823535381476,False,,[],0,0,1.5558599533461108e+16,1.1633743735944936e+16
0xa5BA6e62e9a2CBDeac73F675C26257C75A3FE401,21926452337044713,21926452337044713,False,,[],0,0,1.2655702789188526e+16,9463139836657902.0
0xe5f83E7e144ceF8217FB71Bd668ef29868efd8bf,15564227018397853,15564227018397853,False,,[],0,0,8983497569988102.0,6717295368195414.0
0xE8173A050214086BbaafA443feAf712F9bCc1B0D,15284915302415593,15284915302415593,False,,[],0,0,8822281974839701.0,6596748469603371.0
0xC7FBfbf9085b42F6fee132d1B792412C5cd54Fbd,11735193004487617,11735193004487617,False,,[],0,0,6773422008978632.0,5064739644361622.0
0xDfe562652b1EbfEA548217d900E9f2BFA9b7106d,10947174476074679,10947174476074679,False,,[],0,0,6318586537436408.0,4724642239928796.0
0xF3f78c87E63C73D9F2fF96D6d45678730c29cb84,9977332800950686,9977332800950686,False,,[],0,0,5758804781397331.0,4306072594003398.5
0x211245A2ef3F64679E364c16Af1446dF296Ea892,4759085376556838,4759085376556838,False,,[],0,0,2746890794199248.0,2053952446144833.5
0x93F949C8DAdb7E2203dAfDcB7D815c8ae2a0da91,3799286793896470,3799286793896470,False,,[],0,0,2192905798682586.0,1639717253733159.2
0x407083c9e446203693c04464B0aCd86fFE86f1Ac,3206554797946103,3206554797946103,False,,[],0,0,1850787527150046.8,1383902693442295.8
0xde44D54E68e4799F911E48774AE7b2e908Ae9743,2553925839178251,2553925839178251,False,,[],0,0,1474097399316228.0,1102237469933318.9
0x2a08a695B2EF3F5889b913C67f0900397fE6EbA1,2438761568634199,2438761568634199,False,,[],0,0,1407625871796164.8,1052534235703136.4
0x6C331b963232B0eE2A0a024B3775C6800819BdaC,1997713658120261,1997713658120261,False,,[],0,0,1153057956045078.0,862184333780894.2
