User,LP Balance,LP Balance - withdrawn,is_contract,contract_type,events,withdrawn_eth,withdrawn_mseth,ftm_to_redeem,ftml_to_redeem
0x91ed7BE9bFa5d70b8Bb3D1300cb503a2934Eccc5,100000000000000000000,100000000000000000000,False,,[],0,0,6.707764629634002e+19,3.356050291585915e+19
0xbe82C8C4D18f7137A29248e403ac7661D33Cc391,98836560257466345729,98836560257466345729,False,,[],0,0,6.629723830097224e+19,3.317004668714188e+19
0xD0C5c6454524Eb80056e345fa283F461b2b1Ecc3,97600189171865643755,97600189171865643755,False,,[],0,0,6.546790967726278e+19,3.2755114332908016e+19
0x25658d89712D23c7D7adc097C74cd91449E17be9,95376208123703619830,95376208123703619830,False,,"[AttributeDict({'args': AttributeDict({'provider': '0x25658d89712D23c7D7adc097C74cd91449E17be9', 'token_amount': 100000000000000000, 'coin_index': 3962893646987277247, 'coin_amount': 253741857180472211}), 'event': 'RemoveLiquidityOne', 'logIndex': 2, 'transactionIndex': 0, 'transactionHash': HexBytes('0xe4c741106687b83317c6470cce777ff0ad1b05bca64313a18d765bed1c94454e'), 'address': '0x8B63F036F5a34226065bC0a7B0aE5bb5eBA1fF3D', 'blockHash': HexBytes('0x00037e99000004c184e363ef2a7cce498c5741fb04c7cb064e803e1ee8f0e087'), 'blockNumber': 66770412}), AttributeDict({'args': AttributeDict({'provider': '0x25658d89712D23c7D7adc097C74cd91449E17be9', 'token_amount': 100000000000000000, 'coin_index': 3926809606243039034, 'coin_amount': 153741857180472211}), 'event': 'RemoveLiquidityOne', 'logIndex': 2, 'transactionIndex': 1, 'transactionHash': HexBytes('0x7ef235c3cf78ac2f18e58a7298c6e4075df04b40903249065bc0bc5d5136b7cc'), 'address': '0x8B63F036F5a34226065bC0a7B0aE5bb5eBA1fF3D', 'blockHash': HexBytes('0x00037e9a000004ed29add02c99eb3a3860717b24b6762ccefdec85869027115f'), 'blockNumber': 66770489}), AttributeDict({'args': AttributeDict({'provider': '0x25658d89712D23c7D7adc097C74cd91449E17be9', 'token_amount': 53657045704073968, 'coin_index': 2091845878261844402, 'coin_amount': 100084811476398243}), 'event': 'RemoveLiquidityOne', 'logIndex': 3, 'transactionIndex': 1, 'transactionHash': HexBytes('0xb287fdff741e5758dc25733ba95e6785808e9b46a226ec458fa1ed3f029efcbf'), 'address': '0x8B63F036F5a34226065bC0a7B0aE5bb5eBA1fF3D', 'blockHash': HexBytes('0x00037e9b0000058824561f3e9728e162e6cff84a3d3c4cb3a4331708d23b4a77'), 'blockNumber': 66770608}), AttributeDict({'args': AttributeDict({'provider': '0x25658d89712D23c7D7adc097C74cd91449E17be9', 'token_amount': 53657045704073968, 'coin_index': 1000686377532241438, 'coin_amount': 46427765772324275}), 'event': 'RemoveLiquidityOne', 'logIndex': 3, 'transactionIndex': 1, 'transactionHash': HexBytes('0x9faf9273b09cfbb5fd9ccd2e1d41e56a82a3dc7c0d88d76667a735b57d2173e0'), 'address': '0x8B63F036F5a34226065bC0a7B0aE5bb5eBA1fF3D', 'blockHash': HexBytes('0x00037e9b0000072c9d42cdc8f6886c00facca32dbbb1efb98ff2d61ccefe3400'), 'blockNumber': 66770630}), AttributeDict({'args': AttributeDict({'provider': '0x25658d89712D23c7D7adc097C74cd91449E17be9', 'token_amount': 5365704570407396, 'coin_index': 414403609742406139, 'coin_amount': 41062061201916879}), 'event': 'RemoveLiquidityOne', 'logIndex': 39, 'transactionIndex': 2, 'transactionHash': HexBytes('0xc3bbde4285cbb7dfa25424d9b5e7004e80cca36e6f3628dc27a8ae2993abd1e7'), 'address': '0x8B63F036F5a34226065bC0a7B0aE5bb5eBA1fF3D', 'blockHash': HexBytes('0x00037e9d000007c713b9f2643ff2f8e9c080285ca0ef948ced95bd054be43fc3'), 'blockNumber': 66770998}), AttributeDict({'args': AttributeDict({'provider': '0x25658d89712D23c7D7adc097C74cd91449E17be9', 'token_amount': 5365704570407396, 'coin_index': 396642738742446893, 'coin_amount': 35696356631509483}), 'event': 'RemoveLiquidityOne', 'logIndex': 49, 'transactionIndex': 8, 'transactionHash': HexBytes('0x620747625a3a98f7f94ccb845596d3704686e63b77f235989c977f75b351bb14'), 'address': '0x8B63F036F5a34226065bC0a7B0aE5bb5eBA1fF3D', 'blockHash': HexBytes('0x00037e9d000009b9548d17cfbb6659b4662f171d78203f993b757bb9f98489ee'), 'blockNumber': 66771021}), AttributeDict({'args': AttributeDict({'provider': '0x25658d89712D23c7D7adc097C74cd91449E17be9', 'token_amount': 5365704570407396, 'coin_index': 377758871883699296, 'coin_amount': 30330652061102087}), 'event': 'RemoveLiquidityOne', 'logIndex': 12, 'transactionIndex': 6, 'transactionHash': HexBytes('0xa9b0fafcc8eb02f79945facb17bc52258f719a13baf756cbe6f2c1db7404f3c1'), 'address': '0x8B63F036F5a34226065bC0a7B0aE5bb5eBA1fF3D', 'blockHash': HexBytes('0x00037e9d00000c4e152fa584d55f7f18596ba06597e2e7c84354119268c33e90'), 'blockNumber': 66771059}), AttributeDict({'args': AttributeDict({'provider': '0x25658d89712D23c7D7adc097C74cd91449E17be9', 'token_amount': 1, 'coin_index': 67, 'coin_amount': 30330652061102086}), 'event': 'RemoveLiquidityOne', 'logIndex': 4, 'transactionIndex': 3, 'transactionHash': HexBytes('0x8ec9fbfdd40b3d7ddf9e46d3b9d6818e45cacfd5ff2a55339a4d4fa9d939366e'), 'address': '0x8B63F036F5a34226065bC0a7B0aE5bb5eBA1fF3D', 'blockHash': HexBytes('0x00037e9e0000020051b66a4bf8f4154edf91aff8c572b95959bc5c58ad51bc0e'), 'blockNumber': 66771108}), AttributeDict({'args': AttributeDict({'provider': '0x25658d89712D23c7D7adc097C74cd91449E17be9', 'token_amount': 1, 'coin_index': 67, 'coin_amount': 30330652061102085}), 'event': 'RemoveLiquidityOne', 'logIndex': 14, 'transactionIndex': 3, 'transactionHash': HexBytes('0x8b81e36cea111ac5ed428d36d7dbd44e320f8c21fe504a6b0d471f99924e8ddf'), 'address': '0x8B63F036F5a34226065bC0a7B0aE5bb5eBA1fF3D', 'blockHash': HexBytes('0x00037e9e000002361f544c262e569e02662bb320aa51d5e4ae006eb8e93ac53f'), 'blockNumber': 66771111})]",0,0,6.397611553607902e+19,3.2008735108391444e+19
0x7F8666872aAF01792cca0D08FeEc12d8aCb950fC,87187531909092217185,87187531909092217185,False,,[],0,0,5.848334426848946e+19,2.9260574188616516e+19
0xF16fC4E1CBEad3a74dC7011A0C2Ff22c1cb1f3b5,75012008020693989848,75012008020693989848,False,,[],0,0,5.031628941990331e+19,2.5174407139029504e+19
0xBeDaB76832ed9506c29bbcD8EafEa10489433829,63151602095456354304,63151602095456354304,False,,[],0,0,4.236060828406226e+19,2.1193995262657397e+19
0x4FfD0A59a26cB2Aa76D403215e4cC2845C053994,32652451371124373224,32652451371124373224,False,,[],0,0,2.1902495837807235e+19,1.0958326894505685e+19
0xa1fAFdcC9Cdf7d91B996D29b44E966302F94b50C,29503933426158836463,29503933426158836463,False,,[],0,0,1.9790544107106456e+19,9.901668437779177e+18
0x3D6991085Ab1ae3926cB96f25684C40a364B6856,28890776938787210520,28890776938787210520,False,,[],0,0,1.937925316726425e+19,9.695890036956043e+18
