User,LP Balance,LP Balance - withdrawn,is_contract,contract_type,events,withdrawn_eth,withdrawn_aleth,eth_to_redeem,aleth_to_redeem
0x0175C38d00a114Bd29FBcaf832e7B1a21033644C,34996129180241393261,34996129180241393261,False,,[],0,0,11905411856535762944,23173367266765320192
0x77299Cf68685B96a529D392C7d8EdfC94CBDCC15,34113619066302738611,34113619066302738611,False,,[],0,0,11605188757007089664,22588996038690140160
0x01C9B838BE2c60181cef4Be3160d6F44daEe0a99,30927993689425985860,30927993689425985860,True,curve convex strategy??,[],0,0,10521463698815150080,20479572266349854720
0xF9A0106251467FFF1Ff03e8609aa74fc55A2a45E,29872742916311086914,29872742916311086914,False,,[],0,0,10162475566123212800,19780817452696465408
0xB97F255b37eEf7D47DBE1deBBECD1f2eCFC37Abe,25110157381328493742,25110157381328493742,False,,[],0,0,8542280886765352960,16627178855321325568
0x6cEaa647f9E67faeA9EDb996Cf1e971BfC35da05,22164909577116715639,22164909577116715639,False,,[],0,0,7540330415383050240,14676925765697691648
0xe651B64F2C2ad84603a8548B37d0173d417958AF,20078801919955049400,20078801919955049400,False,,[],0,0,6830652761958317056,13295569026258280448
0xd179fDCdf88593DdC4d90Ef466563eBBfAbaDC0a,20072370032070592215,20072370032070592215,False,,[],0,0,6828464683560127488,13291310026658707456
0x2fec662b176b5e37A34Ec918010267ca05dC9b5C,16979132897012463190,16979132897012463190,False,,[],0,0,5776169389039679488,11243062924680085504
0xf872703F1C8f93fA186869Bac83BAC5A0c87C3c8,16717135888790462055,16717135888790462055,False,,[],0,0,5687040037847772160,11069576512424239104
0x1CA1D9F2923Da6ECf7Ee14eC5ABf9C66FF6b0C05,15563886456019244828,15563886456019244828,False,,[],0,0,5294713520828014592,10305929981170583552
0xDf4CeF95B19a59e9d2E25F76e3020F9eB52A81c7,14985726536237649712,14985726536237649712,False,,[],0,0,5098027998023743488,9923090150770515968
0xD5bA79D098679730CbF45d4CFcf52aAD5aC8bC8E,11673328903527921115,11673328903527921115,True,NumisMe,[],0,0,3971176001138087424,7729721664758512640
0x574fb6a08599def6588A7815D670A948B6ef8646,10991527049058210293,10991527049058210293,False,,[],0,0,3739232295586941440,7278253312489750528
0x3D49c72784c4558366c3088779E3d26D2C5E1702,10099639207315068422,10099639207315068422,False,,[],0,0,3435818965755483648,6687672439644375040
0xBC21047CE5935AF898F3C578127f2A91de61ae95,8129470422614440681,8129470422614440681,False,,[],0,0,2765582817981905408,5383086878474338304
0x5A85DE2d663d78286D1F509f1e71954a6E74DC24,5932983927034127240,5932983927034127240,False,,[],0,0,2018355139385761280,3928640645394630656
