User,LP Balance,is_contract,contract_type,events,withdrawn_eth,withdrawn_mseth,eth_to_redeem,mseth_to_redeem
0xC5063a157362676A666A06006ae836057724651b,179985535709518,False,,[],0,0,69045508959400.234,111104702115544.9
0x942fEC89e62C34Ecfb26694654bEC567FBDF68B5,169709483898189,False,,[],0,0,65103440922602.67,104761316404460.6
0x60865244d168F8Adc2c5AFE6BE135094B19c5C77,143729317568184,False,,[],0,0,55137007786552.58,88723813003819.98
0xa00D8616EAf858394cace2a51331e70ab22D7333,133675309416266,False,,[],0,0,51280119469418.62,82517494388367.83
0x4F0614814995beF67c4cc95a36eCC76Ab46296c0,123984814057948,False,,[],0,0,47562680834996.23,76535571474986.44
0x30c1Bd908E3F1EbB8B94eAe008A686b87525B93e,122988100566424,False,,[],0,0,47180324608215.63,75920302280527.14
0xb7985A153FF4C8fc197b859F6f7979B126Aaa315,120382689903834,False,,[],0,0,46180844819255.78,74311987621159.67
0x5602551C4d64623BD4b2f189c0f1CAD29a4eB108,119929818759337,False,,[],0,0,46007115755186.51,74032431192318.23
0x78FDE30585153202002431490A5765094702C0FF,119902986308908,False,,[],0,0,45996822371392.11,74015867575690.97
0x687922176D1BbcBcdC295E121BcCaA45A1f40fCd,118808360388245,False,,[],0,0,45576905273529.83,73340157239503.19
0xE71Da9853eA796706B21630E1c36a310E9ac5A5b,110927466613705,False,,[],0,0,42553660546818.67,68475297673022.95
0x855f1dE4E143D90C10e317B65d61E355520E66a1,109977550368403,False,,[],0,0,42189256538645.86,67888916322694.17
0x545E484a27C4E6777bF9baAB4C96f9E5E0D65FCD,109973342407331,False,,[],0,0,42187642293296.91,67886318756953.266
0x7395987B2853E625bd12b43AeE453106089daD6C,100318910351370,False,,[],0,0,38484038154275.39,61926657646165.516
0xbAAC5a60066184d4F52D5ded58ffc5F258fFE414,100317607003149,False,,[],0,0,38483538167757.5,61925853091981.336
0xaecE35fb29cE6bF63A753E0682363C77976c668B,100307351848790,False,,[],0,0,38479604116338.41,61919522606224.72
0xd49591f0e9e8FC90856EA791B5f5CDf5eDc78883,100302875329270,False,,[],0,0,38477886847406.73,61916759259904.56
0x346563D78537987beb25740B6b9aeafe9Bae5073,100165243606900,False,,[],0,0,38425088980719.64,61831799479912.87
0xDbB9b22678dB779942d88B0c35489e33Ab685483,100064870249939,False,,[],0,0,38386584055921.01,61769839212486.23
0xcb4d5E7026C3F86348C80D918bA9E511295399f1,100064869513244,False,,[],0,0,38386583773312.3,61769838757725.914
0x13b3fF6f1d996eAf36022eA2a92669e1371E46d7,100064869456574,False,,[],0,0,38386583751572.72,61769838722743.64
0xbF923438A135a99712D4c4b3DB413a0817a90f99,100064869399905,False,,[],0,0,38386583729833.53,61769838687761.984
0xF5D13B0477C1ca0722cf1eD8879CC3C26530c5e9,100061940043371,False,,[],0,0,38385459978905.34,61768030401980.48
0xf3119222FefD46875391333Ed596246194717f70,100061939990373,False,,[],0,0,38385459958574.414,61768030369264.914
0x2b749d044E42cf7974a3d7DAc16b39B5d88Fe0ce,100013651295496,False,,[],0,0,38366935594926.945,61738221856938.04
0xE3DE117345f832f8c9c4A1fb070eE91234DFF91f,100001587898476,False,,[],0,0,38362307870906.0,61730775146694.766
0x568161F734aBF64d5654c79EBEaF2548206eFD12,99993223032813,False,,[],0,0,38359098966341.516,61725611532273.97
0x25E6bc33060c1fEe8e08532D0c1C32c4cBF10E2c,99990325873773,False,,[],0,0,38357987566918.98,61723823121939.484
0xC9Bb7204aEA2Dadd450fFf02E63bbCdEc67F3dCC,99986133124498,False,,[],0,0,38356379157073.766,61721234946409.67
0xb0dDAB71AE6881E22891666Ce1849C6839ffCDc8,99979836548727,False,,[],0,0,38353963683646.43,61717348083097.98
0x781CFaedAF9104fd9A2C4e1B4E4c2aE1ffb0E1F4,99979836467531,False,,[],0,0,38353963652498.266,61717348032975.85
0x1BDB8adC0C51e7050f4b03f207947Bab6c7B545a,99979836386335,False,,[],0,0,38353963621350.1,61717347982853.73
0x70F5D1620C738F25eEcecc3473272D18E2a29FA9,99979611034517,False,,[],0,0,38353877172564.61,61717208873638.586
0x05a4818FAA4E68BDb9B6402d7EE8C7fcE164B392,99979610953396,False,,[],0,0,38353877141445.21,61717208823562.76
0xA931D7bDFd8cF6506ccF8e873E6fC60daB6E5A66,99979610500744,False,,[],0,0,38353876967800.22,61717208544141.6
0xbe33903B7d7BeCC0f4B0fb6E7A88e88Db5567C18,99979610419624,False,,[],0,0,38353876936681.21,61717208494066.4
0x663EBA8A61cdDF13D8aD62e05dc0670a6c80A429,99979610265495,False,,[],0,0,38353876877554.7,61717208398922.88
0xbe5Ab6EC8053251d7DC5A2B4DD4F9055266B2FeC,99979610184373,False,,[],0,0,38353876846434.93,61717208348846.44
0x2Ea74591969F0bC580D451771163a3c27dF902B3,99979610103254,False,,[],0,0,38353876815316.305,61717208298771.84
0x854bD703084706dF2777557659417b76E9FC3BEB,99979609859893,False,,[],0,0,38353876721958.89,61717208148545.59
0x92CBe89B5Cb1c22c2c16Bc465CaF34E3c80b617D,99979609713877,False,,[],0,0,38353876665944.67,61717208058410.22
0x590Fe3Ec839E31d9D21433296e733971A615d98d,99979609632757,False,,[],0,0,38353876634825.66,61717208008335.01
0x5F78dE4676C52b2d0C17b50d5efee777AbCAc70c,99979609551637,False,,[],0,0,38353876603706.65,61717207958259.8
0x1819d92211767BAf387fB0CcAaf318b7dBAcdD0b,99979609405621,False,,[],0,0,38353876547692.43,61717207868124.42
0x061b69C1000EAC01a85b5216BfF34f3e8932E8C5,99979609324501,False,,[],0,0,38353876516573.42,61717207818049.21
0xc9E53AB81B610E5Dfd0807c6b242Df84a3601932,99979591548261,False,,[],0,0,38353869697305.79,61717196844812.71
0xFF1882511a5673194b252c35f2530562f74F47e4,99979591459037,False,,[],0,0,38353869663077.945,61717196789734.92
0x4A98C5763fD1cf17Be983D093B55549E77B27d68,99964829687709,False,,[],0,0,38348206796834.47,61708084378564.6
0x21c69AB0962FAbd811b1f376eF85F5CAE5317eb2,99961377957794,False,,[],0,0,38346882654603.63,61705953632766.18
0x780701198a234052292F1f7c03aA4787Be39E740,99961377903663,False,,[],0,0,38346882633838.06,61705953599351.23
0x31c5640258BbDa28c421f9d102e0966BD581C39c,99941598516152,False,,[],0,0,38339294924791.234,61693743824000.26
0x91A55D0048f101083405e81F4b46C90Bc7c3c45A,99941515752222,False,,[],0,0,38339263175141.75,61693692733995.984
0x5f1bF06BA6aeB4396f04745121f6C420bfa2a588,99940167606234,False,,[],0,0,38338746003439.445,61692860526242.09
0x45946C7234838c4168e323aE7519F886e3A209fA,99934654547546,False,,[],0,0,38336631100474.96,61689457326419.055
0x07bb98C1c3dBbDdBe0BEf1a8043F705EcC3D4273,99856153292257,False,,[],0,0,38306516685424.81,61640998662503.66
0x7d99513d132c0030cFE254Bb36fc2AEbf2A51831,99848751499785,False,,[],0,0,38303677232096.375,61636429551188.79
0xBE3C90D34b757587C62852DCd57f7c8E1bc5547C,99846628037332,False,,[],0,0,38302862635827.59,61635118742170.92
0xbcF05d19C85aa177A58ece89169FD241700F7d1c,99846383666183,False,,[],0,0,38302768890903.64,61634967892361.75
0xD299F46b223ba3047FEC3bA1D6D19f96D4f52127,99844996311341,False,,[],0,0,38302236678018.89,61634111481062.69
0x8c97Da9740d23F9b126620c5EAd7F1c7E16340Ab,99844996269471,False,,[],0,0,38302236661956.84,61634111455216.43
