,User,ETH before hack,alETH before hack,% not recovered by user,is_multisig,ETH to recover
137,0xFfb8C9ec9951B1d22AE0676A8965de43412CeB7d,0.0003434134573138668,0.00066843938425491,100.0,False,0.0010112775005999912
138,0x574b7EEf141fEDA2DA9E9e16028CBf61eB506Ca2,0.00034340913012855076,0.0006684309615765711,100.0,False,0.0010112647579859268
139,0xcE83b2D37d19183D66427F5d72E0A7508197945b,0.00034340449514656167,0.0006684219397853721,100.0,False,0.0010112511089779995
140,0x3BC78C5FB49F5A50aED564DABea2512B0fAd37E6,0.00034340136570198786,0.0006684158484573841,100.0,False,0.001011241893448382
141,0x24878Dc8aedEAF05c7097bBFe65a97c2fC13d15e,0.00034306503342402856,0.0006677611922812906,100.0,False,0.0010102514684717779
142,0x7a0dff2a955B72159650300a9aCeF97146dd12e6,0.00034282120045863243,0.0006672865820009443,100.0,False,0.0010095334337338895
143,0x317aE3371f777ADeDaAdE238B832311807f5Ca26,0.0003428122651531784,0.0006672691898168331,100.0,False,0.0010095071212141721
144,0xF2c09EaFd10A8609658Ce287EEaF72095Ae2062B,0.0003427797413924637,0.0006672058837287263,100.0,False,0.0010094113458543393
145,0xF255F0f4143A5Af7A39141919D80B3E810E02d4C,0.00034277623387267105,0.0006671990564937403,100.0,False,0.001009401016975917
146,0x8Ce01CF638681e12AFfD10e2feb1E7E3C50b7509,0.00034275316911730073,0.000667154161948843,100.0,False,0.0010093330963174046
147,0x7988A7092c88C703cF2950ce8f85382fEd31CE5B,0.0003425056404582726,0.0006666723581613025,100.0,False,0.0010086041785703052
148,0xEAcF16b7757A9f56AEd5C4C187016B920901033E,0.00034241633292950857,0.0006664985249341387,100.0,False,0.0010083411874365863
149,0xE7421007249799725daaf97014f9c05F8d5E858d,0.0003424105537379132,0.0006664872759886204,100.0,False,0.001008324168981696
150,0xdef5c77905B6F47ba9371db98308eD95AFB5f863,0.0003423528994969918,0.0006663750545119125,100.0,False,0.001008154389855642
151,0xDb8c9f8b07f62D8e33C966196546d3CF0f5d9Bd9,0.00034231578904098765,0.0006663028206205708,100.0,False,0.0010080451076816478
152,0x63fdB65CcA5A9E66b7F8d925758cb935281b0Ad2,0.00034231204356255005,0.0006662955302094143,100.0,False,0.0010080340780670763
153,0xF0F76D69382191f08cD2f7D77C3D05deF740a3c9,0.0003423046138293847,0.0006662810685563938,100.0,False,0.001008012199128364
154,0x45faD3d36fA506e7F955711D6D0Dc94a5be8F4B6,0.00034230444358650204,0.0006662807371860144,100.0,False,0.00100801169780032
155,0x1d06e5ff1510c1E25B9603AbDdcd2D872468267C,0.00034227131590885176,0.0006662162555998132,100.0,False,0.0010079141440372352
156,0x03853B09108931C5C8Ff9b1a7DE689e7E76e7711,0.00034227131416746033,0.0006662162522102705,100.0,False,0.0010079141389092185
157,0xCDa53E2D0f0693430b239eceB3968C46c5119Dd4,0.0003422713130990659,0.0006662162501306872,100.0,False,0.0010079141357630303
158,0x18dd0a35977F88E7aDaDE2682e3D9A585Ad3B87D,0.00034204116486357143,0.0006657682765829276,100.0,False,0.0010072363995607895
159,0x262BF24eC8D163af884f7FF4c1b9cBfaB38B5bb9,0.0003419349096688893,0.0006655614554598919,100.0,False,0.0010069235012587123
160,0x68faf54c53899957fCD0291d2A2C5EE9a343A4A3,0.0003418715782831074,0.0006654381836672045,100.0,False,0.0010067370041830764
161,0x9CF7aDeB14c2884a37546De3F15cBdD832D4E05D,0.00034186634895451586,0.0006654280050061493,100.0,False,0.0010067216049544346
162,0x51A37A5DCAd4E7884eA251484e09fF9906db1035,0.00034186633853123356,0.0006654279847176828,100.0,False,0.0010067215742601487
163,0xce430a8F1382E7A6156064779515d36a2C5101aF,0.00034171110511173417,0.0006651258296065885,100.0,False,0.001006264445801326
164,0x30ddDDe80843855eA3d7570C11A5c993365E5b20,0.0003417111046589792,0.0006651258287253206,100.0,False,0.0010062644444680613
165,0x176b032C37544f16ec8555a1e6A63454449EDF77,0.0003417111042062299,0.0006651258278440637,100.0,False,0.0010062644431348138
166,0x4890ae58845CEE70b04f7b54dD2d4BbFd8b697D4,0.00034171110368780104,0.0006651258268349645,100.0,False,0.0010062644416081543
167,0x779205F1618634000E48c583B5fD8C96D0f8C309,0.0003417063366304404,0.0006651165479647892,100.0,False,0.0010062504036671529
168,0x8FcFc4d481555D9b99b114E6EF237AD1ebdc222E,0.00034170633617900493,0.0006651165470860897,100.0,False,0.0010062504023377742
169,0xB18BC3fC909351C7E8916a5f9c75942156fC1B7b,0.00034167458538662154,0.0006650547455472789,100.0,False,0.001006156903200569
170,0xaa8BDB60eE28E7616Bfe4867f58BfE4EDF858271,0.0003415765136678842,0.0006648638532048576,100.0,False,0.0010058681034447877
171,0x06b20B82D9c8C0Ea60D1cC47FAd3f560329BBa21,0.0003414223007864326,0.0006645636845267634,100.0,False,0.0010054139802472444
172,0x79d1AFC625a0B6b6944a49851f29e520A17C1331,0.00034141436566420823,0.0006645482391558828,100.0,False,0.0010053906130483212
173,0x174FE560F3d26AEB40A15fF3b90537a1A778b783,0.00034139672612928766,0.0006645139045670372,100.0,False,0.001005338668477116
174,0x6Ce10eFa053fA3FaD0Cd6C355a337E8338796567,0.00034139672505071494,0.0006645139024676422,100.0,False,0.0010053386653009553
175,0x2cAf293D8EDC0891b0410d46216AEf2009355A8b,0.0003409952383871094,0.0006637324261087766,100.0,False,0.001004156374912946
176,0xc0B54011af8591ac7F9DBC635Ce3660b5db903A7,0.00034099523798358073,0.0006637324253233259,100.0,False,0.0010041563737246424
177,0xAD1b4891a9A73829d8eC8b188EAA7Dd33f5c9dE7,0.0003405585860083771,0.0006628825012122504,100.0,False,0.0010028705291873607
178,0xB290f2F3FAd4E540D0550985951Cdad2711ac34A,0.00034054602348596914,0.0006628580488078258,100.0,False,0.0010028335353072684
179,0x6f6f4d8505623AFAf21Caf9daF80B082602947BD,0.00032771797582180654,0.0006378888110007341,100.0,False,0.0009650577414264383
180,0x5f222918741500fABf6EED0bb16841d028d6d350,0.00032529939835055467,0.0006331811549633098,100.0,False,0.0009579355599042985
181,0xfC09a127b94153Df7924F3df757BA484BB02B903,0.0003137381245367532,0.00061067763745486,100.0,False,0.000923890137870975
182,0x304c161c3A71FbE5867022648fBc7d9aA994A02d,0.00030917205527312356,0.0006017899818838777,100.0,False,0.0009104440628434912
183,0x9124554Cbfe5ec995DeC1d7437fea8dFf50e5CCC,0.00030825798197207113,0.0006000107778908295,100.0,False,0.000907752316950701
184,0x87AD3E74a9d79DE2D6333E096f42A5f5c6073775,0.00030116566845903687,0.0005862058975734502,100.0,False,0.0008868670052945022
185,0x7Ebbe8c7A628849F4305780177a0a6cf69B6362C,0.0002950549818384137,0.0005743117113816408,100.0,False,0.0008688723700784288
186,0x2702811b54ad6F58BAdBEb17007a1303a21Af45F,0.00027964944821270705,0.0005443255090602974,100.0,False,0.0008235064439371743
187,0x40a3C1c8530fF6C77A2986d56a7f3c2a17f03eCb,0.0002773882925663872,0.0005399242677701253,100.0,False,0.0008168478352490821
188,0xC8723b6a1673bBd73ED7D1C4aAaaC7441E59A979,0.0002755046778025294,0.0005362578934155065,100.0,False,0.0008113010018623336
189,0x9B3170698A1DCca963C7d36E0B9496b915a7471c,0.00027548258729010686,0.000536214895192207,100.0,False,0.0008112359501361594
190,0x0E861F1D1A0D4fdC90FE18CAcae65bB750105dBc,0.00027422119407702014,0.0005337596480704019,100.0,False,0.0008075214230882627
191,0xD95345A1b3489Eb586cBaC242c3eAd57ecf368e1,0.00027384369292227925,0.0005330248584631329,100.0,False,0.0008064097647763664
192,0xc61c2F6769dad4B5A99FA13CEad5e007739b85F1,0.00026217135722777677,0.0005103051638260096,100.0,False,0.0007720372898022359
193,0xE3369C94757681f339D032Ec66Aa2aC59E9A7c26,0.00024337539999672023,0.00047371964916306477,100.0,False,0.0007166873078921365
194,0x125EaE40D9898610C926bb5fcEE9529D9ac885aF,0.00024331014816686867,0.000473592639309378,100.0,False,0.0007164951555288657
195,0x0b45e2ab5b3846ecF56e652c5CB40039797C07A2,0.00024216688862895602,0.00047136733425714354,100.0,False,0.0007131285063093488
196,0x7179eD411c63ea4BA21568142E57f6cDa4568E12,0.00024106600548300748,0.0004692245130119589,100.0,False,0.0007098866462931583
197,0x3e6b87FF2168d15794A865D09A6716415e7DbeCf,0.0002258527766017628,0.0004396126235261778,100.0,False,0.0006650870155523642
198,0x9234A405B420A746eAA6631F80C8Df3c86629505,0.00021470536891969887,0.0004179146784738179,100.0,False,0.0006322603387323479
199,0xBDa9A3C241053BdC27423e6ceee83Ba0e26Bace2,0.00020543382762771648,0.0003998680259029419,100.0,False,0.0006049576780334802
200,0xc77704F8ff4b11a827d9AE0ef9a6DF5271F7a956,0.0001912034842738088,0.00037216928042096655,100.0,False,0.0005630524301373071
201,0xaB32bf707C9D9F78f1101F9b7B4D6B4b3727b6ea,0.00017379104778868194,0.0003382767288199436,100.0,False,0.0005117766141405525
202,0x6DC75Ab02d614ac94537f774C1DAd8C8F6d0f6b0,0.0001734510971570781,0.0003376150296755835,100.0,False,0.0005107755339040796
203,0x2Dbb7EaF854059c9FC0484B96d6f2567dC5F3E15,0.00017195121997892515,0.00033469558387033005,100.0,False,0.0005063587237540244
204,0x89D345e4910B201a4780e0bfE286f56AdfaD7bE0,0.00017170459790737187,0.00033421554471594695,100.0,False,0.0005056324757086974
205,0xd377dcD7bCDA8539b34F0DEb07f21E75D1441A80,0.00017138824655741627,0.0003335997805486759,100.0,False,0.0005047008901936832
206,0x66778B537dbc0B4F4E20faC8909d10044678948D,0.00017122734035463942,0.0003332865836112342,100.0,False,0.0005042270566291861
207,0x7c950FDE7dD26Fe40896d93B8Fb7532B8ce5C45D,0.0001711579092724729,0.00033315143902437226,100.0,False,0.0005040225972821749
208,0x1BFDa4D1bd8A28caB70f53D30ba7FA2A10d2C221,0.00017115230769447932,0.00033314053579601834,100.0,False,0.0005040061018604839
209,0x4f1e5f4cb3Da9Cc3581b5aD1CE1142A435d7E822,0.00017113565821051305,0.00033310812829836925,100.0,False,0.0005039570727727383
210,0x6b4cfEb349E5Effe40b2ca9A63DA19E8213c406b,0.0001711356568581254,0.00033310812566600536,100.0,False,0.0005039570687902525
211,0xa77CE92A601D504a6D64af843EB5a3994616969c,0.00017113565564057497,0.0003331081232960963,100.0,False,0.0005039570652048328
212,0x1AbEf1717803CE81190aFA035a27Bc67F6Df395F,0.0001709288305077693,0.0003327055471550724,100.0,False,0.0005033480104374366
213,0xC48f0a509f8D7ef050022a78Df5FeFA0fC3a2FEb,0.00017085316783010775,0.00033255827303814434,100.0,False,0.0005031252004050264
214,0x4D918A4aaF735Dedc39055b94b17C32ecd5E10AB,0.00013773688479073865,0.0002680988659526044,100.0,False,0.00040560499195668146
215,0x8f4991E099B50B18d782783DA7b2fc6008047629,0.00013695588481097204,0.00026657868340163016,100.0,False,0.00040330511788160944
216,0x4F0614814995beF67c4cc95a36eCC76Ab46296c0,0.0001256815158305644,0.00024463361369447974,100.0,False,0.00037010456781426556
218,0x09e3Ab1Ce8126bc411d7132cb4673409a60023cD,0.00010416292328288549,0.00020274860759975213,100.0,False,0.00030673702054847114
219,0xf2f94D2ACD63f089E2D9E82bc8edB0fbD40A28Fd,0.00010407065793556815,0.00020256901710719757,100.0,False,0.0003064653192862175
220,0x8c0ef417bcE72956f4C3CE1e8496C8bd886Dd9cE,0.00010332757419372736,0.00020112263686708972,100.0,False,0.0003042771002366116
221,0x50DEa4112F8900373066aBcE52Fbd89708233358,0.00010331425391281133,0.00020109670951862978,100.0,False,0.0003042378749234936
222,0x4E402F530f7B4EFD2c4D7227F5Ec2c9e4Ca2897E,0.00010292551281185984,0.00020034004184408055,100.0,False,0.00030309311742905616
223,0x424ca2aC3d4b3a85979b02aC4Ed4ACE51a6f5F6c,0.00010291907246513565,0.0002003275059888104,100.0,False,0.0003030741520169573
224,0x89C8121115955831056958861c6800f0298B820A,0.00010290005780618728,0.00020029049478075038,100.0,False,0.00030301815800633686
225,0xd20c9018a5097e922e9c0539aef389c871e76C3F,0.00010280130186639711,0.0002000982706317575,100.0,False,0.00030272734336924724
226,0x0d2DcFb901C476AEb9105e38A7b7b451FD109A92,0.0001027516923204975,0.00020000170780462288,100.0,False,0.00030258125411003283
227,0xA176574D000B6c0ebd512397a7b8A6F2EC1716E5,0.00010272489966227013,0.00019994955705867324,100.0,False,0.000302502355593188
228,0x7Ed7380023e63B1F59D546Fd9B8E982f2A31ca73,0.00010268139500041302,0.00019986487712326406,100.0,False,0.0003023742438818665
229,0x5500E69d58D8f80B236C8A72FD52C538a5D5237f,0.0001025133307261691,0.00019953774731050263,100.0,False,0.00030187933136292523
231,0x3753e4AB8Fb6437A045A7790FC296cEffD6E4337,9.567851251249729e-05,0.00018623407041334057,100.0,False,0.0002817522870291322
232,0x4B2F6D3A23bADb60c8405d50289eF3daB9109936,8.553065656969571e-05,0.0001664817094226814,100.0,False,0.0002518690714016625
233,0x110cf43a8719A1b074903269F082A7c216B1A466,8.201015361036458e-05,0.00015962920326637162,100.0,False,0.0002415019603937984
234,0x1be32718D0e44B0140FaC069bDE714e4aC920d90,7.770872634951445e-05,0.00015125666186351078,100.0,False,0.00022883519816674477
235,0xfD19Ba3c96EE9A8c0be474Daa9664CaE22824F0C,7.555184762621052e-05,0.0001470583910764691,100.0,False,0.00022248366220347426
236,0x9F6c6910A8B1199251a9E213a50a8ba3DFA8d7BE,6.939650365937465e-05,0.0001350772812992,100.0,False,0.00020435752087283378
237,0x2E339c5a9119262916E34333D0334224FeD09d0F,6.939650352966615e-05,0.00013507728104672804,100.0,False,0.0002043575204908706
238,0xf5d7E1459Fba52D900101091a10Bb8D457bfc2e8,6.934651203038568e-05,0.00013497997476392132,100.0,False,0.0002042103064625124
239,0x854bD703084706dF2777557659417b76E9FC3BEB,6.916787325584333e-05,0.0001346322621454551,100.0,False,0.00020368425435365653
240,0x061b69C1000EAC01a85b5216BfF34f3e8932E8C5,6.887616961034012e-05,0.00013406447366474085,100.0,False,0.00020282525093588786
241,0xb1d2190C3BC2983c37DFD7dcE522aFE7E5Ff8c25,6.86934846658333e-05,0.00013370888535211637,100.0,False,0.0002022872837416982
242,0xc880F2445871b41b3E096718Ed223220613AE9Ea,6.86818261482127e-05,0.00013368619255376012,100.0,False,0.00020225295195792857
243,0x3C8981A1d0e563536906ee27dAA89A5E65312A34,6.86816291831797e-05,0.00013368580916987526,100.0,False,0.00020225237193899798
244,0xFf5eff0014d27ce509AF4953bC4Bcc365c8Cf925,6.858907661573279e-05,0.00013350565961580907,100.0,False,0.0002019798248763001
245,0xfa28e2f1bd87212aFC52B4EF9Aa83A2C26003454,6.855524664974727e-05,0.00013343981105585568,100.0,False,0.0002018802030277132
246,0x8366725944Fde1feCb61892dFB80AE27a1A85203,6.850196666478248e-05,0.00013333610387844468,100.0,False,0.00020172330512846184
247,0xB2f390aF1b11083154A0a15Bfd3e555f57D82737,6.850196657791508e-05,0.00013333610370936104,100.0,False,0.00020172330487265632
248,0xb037a6640d61028769538b9221F729e7Cce42Bc4,6.84999243460715e-05,0.00013333212859374763,100.0,False,0.00020171729094667167
249,0xD5f58F8c3a22DcB55cA66583b8234D489983ACC8,6.849927925589769e-05,0.00013333087295373298,100.0,False,0.0002017153912972411
250,0x4607f21737448F0b7e833dd6b9fA19D72fb60b68,6.848326648969643e-05,0.00013329970479956832,100.0,False,0.0002016682372040138
251,0xe1dEd22ca713eb479BBd50c055714aBccA8CA57E,6.847575005184574e-05,0.00013328507437964241,100.0,False,0.00020164610293897208
252,0xB8835F94AB499636f5379Ae4D6933055E068533b,6.847057981802752e-05,0.00013327501074399765,100.0,False,0.000201630877731509
253,0xb92505a3364B7C7E333c05B44cE1E55377fC43cA,6.846366023980694e-05,0.00013326154208542722,100.0,False,0.0002016105010874985
254,0xa731c24Fc9CA345F43d8614248F9Adcd5Ed4e281,6.846316375626969e-05,0.00013326057570177839,100.0,False,0.00020160903905210085
255,0xE38C5fA37006B4Cc9Ff0f7054d902922307488D3,6.84609231695309e-05,0.00013325621449697365,100.0,False,0.00020160244101434535
256,0x2d481C39E28c71915feE81854D1C95cBcf5a5d74,6.846092313285341e-05,0.0001332562144255825,100.0,False,0.00020160244090633816
257,0xFCE06794701C67c422e7b84d3e58F9d121fD4482,6.846088863918187e-05,0.0001332561472851485,100.0,False,0.00020160233933002198
258,0x3Da61E0091023AEF38a2232BaeF1DCC1074d0D52,6.840823306250219e-05,0.00013315365549135377,100.0,False,0.00020144728017656361
259,0x45F7093565B72E8fE5e97BC84D8f9919Cc7Ae15f,6.834126718174478e-05,0.00013302330931199989,100.0,False,0.00020125008030837113
260,0x942A099A6791359370751904A70C4E3fb0562BdD,6.831530280285755e-05,0.0001329727707758234,100.0,False,0.00020117362089297402
261,0xd69bb3402F7fb5eE221C72424C415d337fB8942e,6.828796719385412e-05,0.00013291956319976217,100.0,False,0.0002010931235048792
262,0x234980496c21E6d618a3b44113B61Bb4b39096Ff,6.828783697509129e-05,0.00013291930973459418,100.0,False,0.00020109274003911166
263,0x2E36623B7FfB5829E6d61Bc4D5F70Aaca4c1c4a2,6.826620984281538e-05,0.00013287721346063106,100.0,False,0.0002010290528660923
264,0x1abB0eCCAEd5E87914Ac8f412E19d1f86963c823,6.82629700248905e-05,0.00013287090729570744,100.0,False,0.00020101951231110327
265,0x7452e7D530078dbd6a2Ed65007BEA00A4D60F138,6.824736438183926e-05,0.0001328405315890777,100.0,False,0.00020097355710648328
266,0x90B0D2d51464EFefB38AAD00F954649cb5d16040,6.810236961838271e-05,0.00013255830557742641,100.0,False,0.00020054657924971746
267,0x942fEC89e62C34Ecfb26694654bEC567FBDF68B5,6.585019499797019e-05,0.0001281745454642426,100.0,False,0.0001939144177180746
268,0x7E939785E4202d42D22187292328Dc9FF3025D97,5.82718690872204e-05,0.00011342366311651091,100.0,False,0.000171597905879254
269,0x0fb20260d3E8b9D3023Ca3A5d3423Da7C316e6a8,5.82540709787638e-05,0.00011338901987116263,100.0,False,0.00017154549434367773
270,0x6f15F9D78325A25a3ED808C48B43A3AF08B828dD,5.820614860620007e-05,0.00011329574105367221,100.0,False,0.0001714043734408216
271,0x4bb9635ac0248fD700f6d4e652a8fD39fD0A879b,5.7374984189151776e-05,0.0001116779156035805,100.0,False,0.00016895677607281273
272,0x836d21C8C62df5bC4803DB955dF4c29Df9C9C88B,5.648026173235287e-05,0.00010993637718869218,100.0,False,0.00016632201418281687
273,0x1aeeaa375b4112f537FaFDEA5AA3BAB0e1257557,5.5648710778081506e-05,0.00010831779936067856,100.0,False,0.00016387327854725181
274,0xf5da9CD791998918f4631513a7d43d3cf66c7609,5.479274920347075e-05,0.00010665170732004038,100.0,False,0.00016135265897528533
275,0x6e61851aa4312e1bEa08E63eF6037C55758Fb34c,5.4785688534329566e-05,0.00010663796403411887,100.0,False,0.00016133186684938117
276,0xf577e9A796315C0d5d1A78F463b330586EbeD64D,5.478235399274446e-05,0.00010663147349370335,100.0,False,0.0001613220473539362
277,0xAe5a1F310dD053B752DD967800122983849a174D,5.477092809124745e-05,0.00010660923347253191,100.0,False,0.00016128840057375938
278,0xC5063a157362676A666A06006ae836057724651b,5.1525670174630294e-05,0.0001002924798412107,100.0,False,0.00015173182599922418
279,0x6DFfF150bd18d8A99aB3CdcbA88C15d73416D77a,5.1347368730665604e-05,9.994542382206759e-05,100.0,False,0.00015120676725511917
280,0xD920B68db744CBDf5bc8f63B6B2Bd560292aAB5d,5.123878949262375e-05,9.97340790495381e-05,100.0,False,0.0001508870251537965
281,0x68cf459bbe2B090f17833D885dfD291cDDb586B0,5.1209508697171514e-05,9.967708525251081e-05,100.0,False,0.00015080079961717332
282,0x1896fC3907a5D4B719CFC44318C4E3500060a270,4.793835643773614e-05,9.330992940718062e-05,100.0,False,0.00014116797186814194
283,0x70F5D1620C738F25eEcecc3473272D18E2a29FA9,4.768518815320209e-05,9.281714833345543e-05,100.0,False,0.00014042244665775163
284,0xa00D8616EAf858394cace2a51331e70ab22D7333,4.597975615178157e-05,8.949759898953947e-05,100.0,False,0.00013540032252397455
285,0x5602551C4d64623BD4b2f189c0f1CAD29a4eB108,4.507671831330861e-05,8.773987504526184e-05,100.0,False,0.00013274107365416834
286,0x05a4818FAA4E68BDb9B6402d7EE8C7fcE164B392,4.4575284540366576e-05,8.676385597760006e-05,100.0,False,0.0001312644608953568
287,0xdF2aDF272e40fE277321B21AA58DDCcc3Bc648eE,4.335011465865174e-05,8.437911599755715e-05,100.0,False,0.00012765660363349478
288,0x30c1Bd908E3F1EbB8B94eAe008A686b87525B93e,4.191049876947228e-05,8.157696617485179e-05,100.0,False,0.00012341724979564317
289,0x687922176D1BbcBcdC295E121BcCaA45A1f40fCd,4.14049712363694e-05,8.059297878078075e-05,100.0,False,0.00012192858180878113
290,0xa8180E17db4487Fc72717c44916362842Cc1AdaD,4.132213683232345e-05,8.0431745209829e-05,100.0,False,0.00012168465261118209
291,0xc14e6A977065eF49354Ebd903B5e02b0ccA2d431,4.108206047078757e-05,7.996444699579155e-05,100.0,False,0.00012097768024980126
292,0x45a1f7FABfD9c69384f75740A8C1CC4aeD33D7A9,4.108206046119484e-05,7.996444697711969e-05,100.0,False,0.00012097768022155275
