User,LP Balance,is_contract,contract_type,events,withdrawn_eth,withdrawn_aleth,eth_to_redeem,crv_to_redeem
0x9008D19f58AAbD9eD0D60971565AA8510560ab41,1742175906438472704,True,,"[AttributeDict({'args': AttributeDict({'provider': '0x9008D19f58AAbD9eD0D60971565AA8510560ab41', 'token_amounts': [87646009414449244, 0], 'fee': 850263730844791325, 'token_supply': 423823706478862610802965}), 'event': 'AddLiquidity', 'logIndex': 80, 'transactionIndex': 21, 'transactionHash': HexBytes('0x3ba3bc17aa959a6260303ea5ebb38a7383b6e30ae53b5fa85c07290e9ad739bf'), 'address': '0x8301AE4fc9c624d1D396cbDAa1ed877821D7C511', 'blockHash': HexBytes('0xa22310f2b50f7667e5ea52f4da07b684ad68c530fa584634bde353195b042e7c'), 'blockNumber': 17863471}), AttributeDict({'args': AttributeDict({'provider': '0x9008D19f58AAbD9eD0D60971565AA8510560ab41', 'token_amounts': [3980764618178081568, 0], 'fee': 37847288496821483961, 'token_supply': 440534072931479189425437}), 'event': 'AddLiquidity', 'logIndex': 53, 'transactionIndex': 9, 'transactionHash': HexBytes('0xe41dd45b9e450f58ba0d0a7e138271c5b93a803a124627999a3ed37dde39ef3a'), 'address': '0x8301AE4fc9c624d1D396cbDAa1ed877821D7C511', 'blockHash': HexBytes('0xdbfaf46ece0b4b4aa64de8bce4bd2417e511a4c3826e66c70fe4684fceb7d324'), 'blockNumber': 17863529}), AttributeDict({'args': AttributeDict({'provider': '0x9008D19f58AAbD9eD0D60971565AA8510560ab41', 'token_amounts': [6991359636443694006, 0], 'fee': 63173859517416834088, 'token_supply': 468426649427988313260749}), 'event': 'AddLiquidity', 'logIndex': 82, 'transactionIndex': 28, 'transactionHash': HexBytes('0x82be18605b79662103e723b281a164d62a6e42d9ece36473b0234f883fb32eb2'), 'address': '0x8301AE4fc9c624d1D396cbDAa1ed877821D7C511', 'blockHash': HexBytes('0x63695979e796145322fa0918f06f1391e7e098bafd9c93ac26d937e9cac9bf62'), 'blockNumber': 17863811}), AttributeDict({'args': AttributeDict({'provider': '0x9008D19f58AAbD9eD0D60971565AA8510560ab41', 'token_amounts': [487366956488090610, 0], 'fee': 4262330808668677319, 'token_supply': 470308557372862914404949}), 'event': 'AddLiquidity', 'logIndex': 89, 'transactionIndex': 8, 'transactionHash': HexBytes('0x2e9c7dd25809df3b2792c5668c77d73bc2fbc65ea4c2be669e26f2baf7cd19b9'), 'address': '0x8301AE4fc9c624d1D396cbDAa1ed877821D7C511', 'blockHash': HexBytes('0xb534bf521f7194e0a7e1d85675c12041f1b461cf42b7ebf2e9f8b4d1a75d59ca'), 'blockNumber': 17864595}), AttributeDict({'args': AttributeDict({'provider': '0x9008D19f58AAbD9eD0D60971565AA8510560ab41', 'token_amounts': [995467083134226910, 0], 'fee': 9600451588260796788, 'token_supply': 427828025821541433981378}), 'event': 'AddLiquidity', 'logIndex': 17, 'transactionIndex': 2, 'transactionHash': HexBytes('0x665b22af0bc02690a559b11c043ef160605c81c1ce8f7781bb473c85d9c3416a'), 'address': '0x8301AE4fc9c624d1D396cbDAa1ed877821D7C511', 'blockHash': HexBytes('0x0229bd3dd14b23d4312b8e82b9a94184e98efcf1b93dd0950023dc96810fa494'), 'blockNumber': 17868969}), AttributeDict({'args': AttributeDict({'provider': '0x9008D19f58AAbD9eD0D60971565AA8510560ab41', 'token_amounts': [6246344327348893, 0], 'fee': 59936352496790898, 'token_supply': 427854488968821251997572}), 'event': 'AddLiquidity', 'logIndex': 116, 'transactionIndex': 39, 'transactionHash': HexBytes('0xe125b5e5f44400bf421e5f29cbca788b994d62b04c1775c7c5a3f89af0ad073b'), 'address': '0x8301AE4fc9c624d1D396cbDAa1ed877821D7C511', 'blockHash': HexBytes('0x26850a10981a39788f8f78cf72234fed641cecbe112977ac6f2a7c4e46c09990'), 'blockNumber': 17869416}), AttributeDict({'args': AttributeDict({'provider': '0x9008D19f58AAbD9eD0D60971565AA8510560ab41', 'token_amount': 44931548191722882192711, 'coin_index': 0, 'coin_amount': 11050302771356022323}), 'event': 'RemoveLiquidityOne', 'logIndex': 60, 'transactionIndex': 16, 'transactionHash': HexBytes('0x84a4bb1823bd16f21f7c062878838c28f1d852b75c60404ae32f36fcfc312d5c'), 'address': '0x8301AE4fc9c624d1D396cbDAa1ed877821D7C511', 'blockHash': HexBytes('0xd60bd0c4794e650ca15d28c8ed330826b3a54d527d9051fd5954da7698582243'), 'blockNumber': 17865329}), AttributeDict({'args': AttributeDict({'provider': '0x9008D19f58AAbD9eD0D60971565AA8510560ab41', 'token_amount': 1787778622598485517420, 'coin_index': 0, 'coin_amount': 416739799121393021}), 'event': 'RemoveLiquidityOne', 'logIndex': 177, 'transactionIndex': 53, 'transactionHash': HexBytes('0x7d08d0206bd3c14a7c4daa774c39fce9c8b1e1c30d81ccd5167d3cf1ddbd40ba'), 'address': '0x8301AE4fc9c624d1D396cbDAa1ed877821D7C511', 'blockHash': HexBytes('0x02735d8c853bf897f32c6e0599bcc938eec7761b8134d3269eeebe7264069186'), 'blockNumber': 17867507})]",11467042570477415344,0,-11424097770784765952,113252424366283407360
0xcAe043b7c77d132B6b9c6D1B11515A4a499C08Cd,1452712605463612672,False,,[],0,0,35809502141581120,94435483735134912512
0xef51d26e841C746e0009004593043fD21C2052C7,1407030482227049216,False,,[],0,0,34683433514022380,91465857540891099136
0x421646355A0aA9824A593e20601d6099ec0DB812,1352430592866445056,False,,[],0,0,33337541114083664,87916520291209854976
0xEE3396df461099a33fe0DfB5Afa3a88E83B82194,924101402267399936,False,,[],0,0,22779186343586420,60072420804518363136
0x7EA045FAC857Bbe869cF91Bad24DaB35682ACc8e,860763613396192896,False,,[],0,0,21217903900179336,55955064963954548736
0xc2cE2eB9a26DBD47F351E237E296Be3959461DA3,780896912019855488,False,,[],0,0,19249182211374104,50763225538566635520
0xd6f0680Cb0a12fdc8327C2c5d249f6A451CeeEbd,650696345579531008,False,,[],0,0,16039726022142558,42299367354823081984
0x78B8B7Fb37fF47cf8B72677948f85eDEc9c09C77,616829376111177984,False,,[],0,0,15204902044471616,40097800690943074304
0x20fc7E34f4aCfA8Faec8EdF0546C57CD77d76bFE,516252701400830528,False,,[],0,0,12725677568214046,33559682350797041664
