User,LP Balance,is_contract,contract_type,events,withdrawn_eth,withdrawn_crv,eth_to_redeem,crv_to_redeem
0x1cEBdB0856dd985fAe9b8fEa2262469360B8a3a6,548420702656752840841667,True,gauge,[],0,0,11173601572628864172032,29466605411126801959223296
0xc7599b60f05639f93D26e58d56D90C526A6e7575,859513630236467752649,True,,[],0,0,17511853225054185472,46181606319692210765824
0x70CCBE10F980d80b7eBaab7D2E3A73e87D67B775,269291058840448959527,True,,[],0,0,5486574419926272000,14468989469499435515904
0x223b9a8b7477DdcD513734663a8Fb8F732E13D55,89971226972954783065,False,,[],0,0,1833086603635307776,4834147636520378433536
0xdFc17531f577bc4C735B168df016cbc3A11F4F11,51338772010838789923,False,,[],0,0,1045983459227967488,2758428574644838072320
0xeCb456EA5365865EbAb8a2661B0c503410e9B347,50361456528345709163,True,,[],0,0,1026071494272527360,2705917483168350339072
0xB1DD9553cb97003e1058441BA63f92146cfDcbb9,49668842868515722284,False,,[],0,0,1011960084835921408,2668703400407254695936
0x3Ed58A9445F3e2762d7C03396312786532193716,45727462809991217675,False,,[],0,0,931657845684637952,2456933329734858702848
0x73d388E3322c45b4451Dee63d88273308Ce7fF5b,44672774676943305759,False,,"[AttributeDict({'args': AttributeDict({'provider': '0x73d388E3322c45b4451Dee63d88273308Ce7fF5b', 'token_amount': 44672774676943305759, 'coin_index': 0, 'coin_amount': 7067257295594075}), 'event': 'RemoveLiquidityOne', 'logIndex': 157, 'transactionIndex': 107, 'transactionHash': HexBytes('0x269fb7319d6876c5193e1a1a0d24a3f0fea8e3fea3cb58cc2b3cfafc8624da6b'), 'address': '0x8301AE4fc9c624d1D396cbDAa1ed877821D7C511', 'blockHash': HexBytes('0xdb72e1b7905cd6f87402ea3a5b0a791b1d0a36e67898e7a1a2856c35f907f7d5'), 'blockNumber': 17928228})]",7067257295594075,0,903102222021822720,2400265011238188089344
0xc38d70E04fE154349F85C2e88851d903Efe59464,39865651244424960173,False,,[],0,0,812228461253724160,2141978610556382478336
0x56881e662560DB7E58fD9cFEFa13Bf8359B6C7D0,35261192578345693722,False,,[],0,0,718416564031075840,1894581373384394276864
0xd7b17297B9884Aa73BF5E6e39e3cEC107ffe6b17,31315010727656549125,True,,[],0,0,638016492481740416,1682553302759961526272
0xd9B101456F2ec9BEE324Ad19ba6Cda744037DC6A,23425909283772396761,False,,[],0,0,477282815082286016,1258672442374606815232
0x6f0Ace0F94f4B9890Dfa99A4175B3Ef0288C16B3,23020928994333089720,True,yVault,[],0,0,469031688935804864,1236912880180141752320
0x9282b78F169fdb9DE09Ea652a0FE9f9764f90fC9,16021841906939053482,False,,[],0,0,326431290905937728,860852427970272296960
0xA1F095b8A4067C98d32369a1C9e3E210d5AA1a80,14449008842907794172,False,,[],0,0,294386165853935872,776344219124644708352
0xD221734b9aDd3699E8cC7a790FB18ED967ba95D5,13256427569986323352,False,,[],0,0,270088344998432448,712266912014175043584
0xa895042fC5beb8e99F64968100e5c5f11B316dA2,11925487399211553709,False,,[],0,0,242971580235174336,640755591146727931904
0x3632c33477F048C1Ad8E4b26C900650cbaAFdca3,11349061137182306987,False,,[],0,0,231227389403732064,609784249019154432000
0x73C98dB05bB895626cb342300829Ac87DC8b3B27,11128396106110767329,False,,[],0,0,226731528605150304,597927932568809242624
0x0f430161853011Ef8625C55C33Fbd653d4C8a53b,11069070482066678718,False,,[],0,0,225522819884080896,594740371001553584128
0xfadc56E064D50A5C73a16915F9C103aB8222928e,11023324997548827010,False,,[],0,0,224590794861551360,592282469366735175680
0x5715896b137A6aD19Fa04c09d6322f4E6f327Edf,10339359320665558465,False,,[],0,0,210655580662261248,555533042115285024768
0x46bcF9c0f0A59EdA5D2350Abb5d584c07cD61D0B,10195826767161087348,False,,[],0,0,207731227956771264,547821048207544418304
0xf40499dD5128E5b7839eE5180430093bc4E0a134,8700258223205429543,False,,[],0,0,177260301250752544,467464256539128692736
0xFd94fB2F07A4a0Cb5c8B88c7A4346DdEd36f2b1D,8175106388954875344,False,,[],0,0,166560782919980288,439247885775175745536
